City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Buenaventura,CO,2021-10-20 23:16:23,3.8801,-77.0312,66.9,94,95,3.11
1,Guerrero Negro,MX,2021-10-20 23:17:52,27.9769,-114.0611,69.91,62,61,12.84
2,Umm Kaddadah,SD,2021-10-20 23:17:52,13.6017,26.6876,87.64,15,97,18.72
3,Tasiilaq,GL,2021-10-20 23:16:12,65.6145,-37.6368,31.69,46,63,10.54
4,Xining,CN,2021-10-20 23:17:52,36.6167,101.7667,38.21,94,100,1.72
5,Bluff,NZ,2021-10-20 23:17:53,-46.6,168.3333,48.74,56,100,3.42
6,Mar Del Plata,AR,2021-10-20 23:16:16,-38.0023,-57.5575,62.1,43,0,3.0
7,Bilma,NE,2021-10-20 23:17:53,18.6853,12.9164,83.07,16,0,9.53
8,Rovaniemi,FI,2021-10-20 23:17:53,66.5,25.7167,29.61,93,90,14.97
9,Albany,US,2021-10-20 23:15:10,42.6001,-73.9662,66.61,68,68,4.88
10,Jamestown,US,2021-10-20 23:15:56,42.097,-79.2353,60.44,63,20,8.05
11,Jizan,SA,2021-10-20 23:17:54,17.3333,42.6667,83.34,65,8,2.86
12,Ponta Do Sol,PT,2021-10-20 23:17:54,32.6667,-17.1,74.03,78,100,6.51
13,Necochea,AR,2021-10-20 23:17:54,-38.5473,-58.7368,62.04,85,1,10.33
14,Mitchell,US,2021-10-20 23:17:55,43.7094,-98.0298,37.74,96,90,5.99
15,Sao Joao Da Barra,BR,2021-10-20 23:17:55,-21.6403,-41.0511,65.35,93,100,12.08
16,Barrow,US,2021-10-20 23:13:17,71.2906,-156.7887,28.42,86,90,21.85
17,Yellowknife,CA,2021-10-20 23:17:55,62.456,-114.3525,44.42,74,20,12.66
18,Ushuaia,AR,2021-10-20 23:17:56,-54.8,-68.3,49.66,40,20,11.5
19,Chapais,CA,2021-10-20 23:14:47,49.7834,-74.8492,38.98,96,100,8.21
20,Mao,ES,2021-10-20 23:17:56,39.8885,4.2658,64.96,82,20,6.91
21,Port Elizabeth,ZA,2021-10-20 23:17:56,-33.918,25.5701,61.09,94,0,3.44
22,Georgetown,MY,2021-10-20 23:15:18,5.4112,100.3354,76.95,94,20,1.01
23,West Wendover,US,2021-10-20 23:15:13,40.7391,-114.0733,52.81,54,1,3.44
24,Rikitea,PF,2021-10-20 23:17:57,-23.1203,-134.9692,74.75,72,25,20.89
25,Uyuni,BO,2021-10-20 23:17:57,-20.4597,-66.825,52.88,5,28,13.29
26,Busselton,AU,2021-10-20 23:17:57,-33.65,115.3333,57.04,73,98,14.56
27,Camacupa,AO,2021-10-20 23:17:58,-12.0167,17.4833,63.55,90,100,4.12
28,Gulu,UG,2021-10-20 23:17:58,2.7746,32.299,65.26,93,100,3.09
29,Hambantota,LK,2021-10-20 23:17:58,6.1241,81.1185,78.58,83,95,8.7
30,Cape Town,ZA,2021-10-20 23:15:09,-33.9258,18.4232,63.09,77,0,4.0
31,Puerto Ayora,EC,2021-10-20 23:17:59,-0.7393,-90.3518,71.01,81,96,12.15
32,New Norfolk,AU,2021-10-20 23:17:59,-42.7826,147.0587,64.89,49,91,1.99
33,Namibe,AO,2021-10-20 23:16:34,-15.1961,12.1522,66.54,91,34,9.78
34,Vaini,TO,2021-10-20 23:16:23,-21.2,-175.2,80.76,78,20,10.36
35,Longyearbyen,SJ,2021-10-20 23:17:59,78.2186,15.6401,12.04,67,0,8.05
36,Quatre Cocos,MU,2021-10-20 23:18:00,-20.2078,57.7625,73.09,82,49,7.83
37,Castro,BR,2021-10-20 23:17:52,-24.7911,-50.0119,52.0,94,59,7.67
38,Eyl,SO,2021-10-20 23:18:00,7.9803,49.8164,77.85,82,67,6.24
39,Saskylakh,RU,2021-10-20 23:18:00,71.9167,114.0833,10.45,98,99,5.57
40,Hermanus,ZA,2021-10-20 23:18:01,-34.4187,19.2345,61.81,86,86,6.58
41,Matadi,CD,2021-10-20 23:16:43,-5.8167,13.45,76.44,82,88,4.47
42,Beloha,MG,2021-10-20 23:18:02,-25.1667,45.05,68.49,88,99,6.24
43,Nanortalik,GL,2021-10-20 23:18:02,60.1432,-45.2371,36.95,69,1,2.64
44,Guayaramerin,BO,2021-10-20 23:18:03,-10.8368,-65.3614,78.1,79,81,2.75
45,Kaoma,ZM,2021-10-20 23:18:03,-14.7833,24.8,65.23,65,28,5.82
46,Qaanaaq,GL,2021-10-20 23:13:51,77.484,-69.3632,16.34,93,83,1.54
47,Jalu,LY,2021-10-20 23:18:03,29.0331,21.5482,70.86,45,10,8.21
48,Punta Arenas,CL,2021-10-20 23:13:09,-53.15,-70.9167,48.31,53,20,12.66
49,Coolum Beach,AU,2021-10-20 23:18:04,-26.5333,153.1,77.11,76,17,4.12
50,Yanam,IN,2021-10-20 23:18:04,16.7333,82.2167,75.79,96,53,2.01
51,Cabedelo,BR,2021-10-20 23:18:05,-6.9811,-34.8339,81.27,79,11,11.77
52,Salisbury,GB,2021-10-20 23:18:05,51.0693,-1.7957,51.67,91,75,25.32
53,Khatanga,RU,2021-10-20 23:18:05,71.9667,102.5,24.46,97,100,5.3
54,Meulaboh,ID,2021-10-20 23:18:06,4.1363,96.1285,74.82,90,100,6.42
55,Mayo,US,2021-10-20 23:18:06,38.8876,-76.5119,69.58,71,1,0.0
56,Port Alfred,ZA,2021-10-20 23:18:06,-33.5906,26.891,62.56,85,27,14.99
57,Varde,DK,2021-10-20 23:18:06,55.6211,8.4807,54.88,91,75,16.11
58,Butembo,CD,2021-10-20 23:18:07,0.15,29.2833,58.93,98,100,2.28
59,Ferrol,ES,2021-10-20 23:18:07,43.4832,-8.2369,60.67,78,97,7.05
60,Kavieng,PG,2021-10-20 23:13:26,-2.5744,150.7967,81.88,77,94,5.86
61,Saint-Philippe,RE,2021-10-20 23:16:45,-21.3585,55.7679,71.19,79,41,10.36
62,Kapaa,US,2021-10-20 23:18:08,22.0752,-159.319,84.18,65,1,1.99
63,Luderitz,NA,2021-10-20 23:18:08,-26.6481,15.1594,55.38,87,44,11.1
64,Inhambane,MZ,2021-10-20 23:18:08,-23.865,35.3833,65.86,75,0,5.77
65,Atuona,PF,2021-10-20 23:18:09,-9.8,-139.0333,76.84,82,14,16.31
66,Storozhevaya,RU,2021-10-20 23:18:09,43.8789,41.4514,34.77,77,13,4.38
67,Faya,SA,2021-10-20 23:18:09,18.3851,42.4509,59.11,29,2,6.73
68,Yakhroma,RU,2021-10-20 23:18:10,56.3,37.4833,41.65,93,100,19.24
69,Ayorou,NE,2021-10-20 23:18:10,14.7308,0.9174,90.54,24,47,5.77
70,Cherskiy,RU,2021-10-20 23:18:10,68.75,161.3,-4.86,100,100,5.66
71,Ust-Nera,RU,2021-10-20 23:18:11,64.5667,143.2,4.71,94,99,1.9
72,Vardo,NO,2021-10-20 23:18:11,70.3705,31.1107,34.57,72,100,26.19
73,Boda,CF,2021-10-20 23:18:11,4.3189,17.4695,69.4,97,100,2.15
74,Shingu,JP,2021-10-20 23:18:12,33.7333,135.9833,58.19,65,100,5.44
75,Motygino,RU,2021-10-20 23:18:12,58.1831,94.7592,33.26,87,97,2.68
76,Mataura,NZ,2021-10-20 23:16:15,-46.1927,168.8643,51.91,51,98,2.48
77,Chokurdakh,RU,2021-10-20 23:18:12,70.6333,147.9167,-16.35,96,91,2.82
78,Butaritari,KI,2021-10-20 23:16:36,3.0707,172.7902,81.32,75,26,10.07
79,Bengkulu,ID,2021-10-20 23:18:13,-3.8004,102.2655,74.21,89,94,3.71
80,Pevek,RU,2021-10-20 23:18:13,69.7008,170.3133,18.57,92,100,13.56
81,Arraial Do Cabo,BR,2021-10-20 23:16:28,-22.9661,-42.0278,62.56,94,75,0.0
82,Samarai,PG,2021-10-20 23:15:49,-10.6167,150.6667,82.74,75,79,7.9
83,East London,ZA,2021-10-20 23:18:13,-33.0153,27.9116,62.49,84,51,13.65
84,Salto,UY,2021-10-20 23:14:35,-31.3833,-57.9667,72.88,51,24,8.25
85,Upernavik,GL,2021-10-20 23:18:14,72.7868,-56.1549,32.67,99,100,9.48
86,Hlobyne,UA,2021-10-20 23:18:14,49.3878,33.2596,50.09,79,91,17.52
87,Intipuca,SV,2021-10-20 23:18:15,13.1969,-88.0544,78.37,91,83,2.77
88,Aksu,CN,2021-10-20 23:18:15,41.1231,80.2644,50.36,30,56,1.68
89,Mahebourg,MU,2021-10-20 23:18:15,-20.4081,57.7,73.26,83,40,5.75
90,Ormond Beach,US,2021-10-20 23:18:16,29.2858,-81.0559,78.03,58,1,6.91
91,Katangli,RU,2021-10-20 23:18:16,51.7102,143.2326,28.11,78,16,7.85
92,Palmer,US,2021-10-20 23:18:16,42.1584,-72.3287,65.03,74,46,4.23
93,Thompson,CA,2021-10-20 23:16:41,55.7435,-97.8558,35.76,41,75,4.61
94,Woodstock,CA,2021-10-20 23:13:29,43.1334,-80.7497,62.65,83,72,5.01
95,Acapulco,MX,2021-10-20 23:15:25,16.8634,-99.8901,85.82,74,75,3.44
96,Isla Mujeres,MX,2021-10-20 23:18:17,21.2311,-86.731,78.85,90,100,11.36
97,Hithadhoo,MV,2021-10-20 23:18:17,-0.6,73.0833,81.09,76,100,10.33
98,Sitka,US,2021-10-20 23:17:01,57.0531,-135.33,53.49,58,90,17.27
99,Kaitangata,NZ,2021-10-20 23:18:17,-46.2817,169.8464,51.75,53,99,3.06
100,Takoradi,GH,2021-10-20 23:18:18,4.8845,-1.7554,77.63,88,73,8.68
101,Airai,TL,2021-10-20 23:18:18,-8.9266,125.4092,70.02,54,98,0.72
102,Nakhon Phanom,TH,2021-10-20 23:18:18,17.3333,104.4167,73.42,89,40,1.57
103,Avarua,CK,2021-10-20 23:16:22,-21.2078,-159.775,77.05,65,75,10.36
104,Killybegs,IE,2021-10-20 23:18:19,54.6333,-8.45,44.46,60,96,23.04
105,Riyadh,SA,2021-10-20 23:14:01,24.6877,46.7219,73.54,21,0,4.94
106,Raha,IN,2021-10-20 23:18:19,26.2333,92.5167,73.56,97,99,2.01
107,Port Said,EG,2021-10-20 23:18:20,31.2565,32.2841,73.27,59,4,11.07
108,Hobart,AU,2021-10-20 23:15:24,-42.8794,147.3294,65.23,58,75,5.99
109,Moranbah,AU,2021-10-20 23:18:20,-22.0016,148.0466,83.71,47,77,12.71
110,Kamina,CD,2021-10-20 23:18:20,-8.7386,24.9906,65.32,89,90,4.34
111,Hami,CN,2021-10-20 23:18:20,42.8,93.45,56.32,19,100,8.03
112,Margate,GB,2021-10-20 23:16:50,51.3813,1.3862,53.69,92,100,5.01
113,Marawi,PH,2021-10-20 23:18:21,7.9986,124.2928,66.65,90,100,1.36
114,Tabou,CI,2021-10-20 23:18:21,4.423,-7.3528,77.23,88,42,7.54
115,Narsaq,GL,2021-10-20 23:18:21,60.9167,-46.05,28.62,36,0,4.21
116,Seydisehir,TR,2021-10-20 23:18:22,37.4193,31.8453,43.83,74,1,3.83
117,Rio Gallegos,AR,2021-10-20 23:18:22,-51.6226,-69.2181,53.65,26,0,8.05
118,Hilo,US,2021-10-20 23:18:22,19.7297,-155.09,80.33,66,40,11.5
119,Iraquara,BR,2021-10-20 23:18:23,-12.2486,-41.6194,74.01,78,100,1.86
120,Bambous Virieux,MU,2021-10-20 23:18:23,-20.3428,57.7575,73.22,83,40,5.75
121,Bredasdorp,ZA,2021-10-20 23:18:23,-34.5322,20.0403,61.29,98,87,4.9
122,Krasnoarmeysk,RU,2021-10-20 23:18:24,51.0239,45.6969,33.3,81,64,7.94
123,Sarkand,KZ,2021-10-20 23:18:24,45.41,79.9186,56.89,22,100,5.99
124,Aguimes,ES,2021-10-20 23:18:24,27.9054,-15.4461,70.02,79,20,21.85
125,Kotma,IN,2021-10-20 23:18:24,23.2,81.9667,65.57,74,51,4.54
126,Broome,US,2021-10-20 23:18:25,42.2506,-75.833,62.78,1,62,2.08
127,Stephenville Crossing,CA,2021-10-20 23:18:25,48.5,-58.4318,48.33,87,90,4.61
128,Camana,PE,2021-10-20 23:18:25,-16.6228,-72.7111,63.28,82,94,8.99
129,Kodiak,US,2021-10-20 23:18:26,57.79,-152.4072,44.11,81,90,9.22
130,San Vicente,AR,2021-10-20 23:18:26,-26.6167,-54.1333,61.27,72,60,3.06
131,Assiniboia,CA,2021-10-20 23:18:26,49.6334,-105.9845,40.82,38,7,12.66
132,Anloga,GH,2021-10-20 23:18:26,5.7947,0.8973,80.85,82,100,11.65
133,Cidreira,BR,2021-10-20 23:17:25,-30.1811,-50.2056,63.37,67,95,16.53
134,Buta,CD,2021-10-20 23:18:27,2.7858,24.73,70.54,99,100,1.05
135,Bairiki,KI,2021-10-20 23:18:27,1.3292,172.9752,87.8,62,20,13.8
136,Kalmunai,LK,2021-10-20 23:18:27,7.4167,81.8167,79.11,84,99,6.98
137,Tual,ID,2021-10-20 23:18:28,-5.6667,132.75,82.65,75,88,3.18
138,Zhigansk,RU,2021-10-20 23:14:06,66.7697,123.3711,19.67,92,86,8.84
139,North Bend,US,2021-10-20 23:15:19,43.4065,-124.2243,62.51,85,75,10.36
140,Ribeira Grande,PT,2021-10-20 23:18:28,38.5167,-28.7,70.21,62,75,4.79
141,Japura,ID,2021-10-20 23:18:29,-0.3167,102.35,70.63,99,88,2.1
142,Tiksi,RU,2021-10-20 23:16:09,71.6872,128.8694,10.92,94,100,5.39
143,Nikolskoye,RU,2021-10-20 23:16:50,59.7035,30.7861,55.29,90,100,17.34
144,Kargasok,RU,2021-10-20 23:18:29,59.0556,80.8572,36.75,89,59,7.34
145,Nahariyya,IL,2021-10-20 23:18:29,33.0059,35.0941,71.6,64,0,4.83
146,Halol,IN,2021-10-20 23:18:30,22.5,73.4667,72.64,63,5,1.59
147,Evensk,RU,2021-10-20 23:18:30,61.95,159.2333,9.95,71,91,9.1
148,Carmo Do Rio Claro,BR,2021-10-20 23:18:30,-20.9719,-46.1189,61.9,88,100,5.01
149,Saint-Georges,GD,2021-10-20 23:18:31,12.0564,-61.7485,80.28,89,40,11.5
150,Sakaiminato,JP,2021-10-20 23:18:31,35.55,133.2333,49.98,93,75,5.75
151,Kavaratti,IN,2021-10-20 23:18:32,10.5669,72.642,81.77,74,98,11.39
152,Sabanagrande,CO,2021-10-20 23:18:32,10.7912,-74.7606,78.39,88,40,0.0
153,Ulsteinvik,NO,2021-10-20 23:18:32,62.3432,5.8487,44.73,89,91,5.01
154,Najran,SA,2021-10-20 23:16:27,17.4924,44.1277,66.85,30,7,3.24
155,Progreso,MX,2021-10-20 23:18:33,21.2833,-89.6667,78.12,80,91,14.12
156,Salalah,OM,2021-10-20 23:17:28,17.0151,54.0924,77.09,78,75,3.44
157,Lampazos De Naranjo,MX,2021-10-20 23:18:33,27.0167,-100.5167,87.42,41,6,10.87
158,Teguise,ES,2021-10-20 23:18:34,29.0605,-13.564,66.42,88,20,6.91
159,Itarema,BR,2021-10-20 23:18:33,-2.9248,-39.9167,80.11,79,100,11.07
160,Bethel,US,2021-10-20 23:14:35,41.3712,-73.414,68.31,73,1,5.75
161,Sunds,DK,2021-10-20 23:18:34,56.2042,9.0127,52.95,93,75,8.05
162,Trinidad,BO,2021-10-20 23:18:35,-14.8333,-64.9,87.78,48,73,3.44
163,Pacific Grove,US,2021-10-20 23:15:33,36.6177,-121.9166,68.2,76,90,1.99
164,Balykshi,KZ,2021-10-20 23:18:35,47.0667,51.8667,32.0,86,32,11.18
165,Mnogovershinnyy,RU,2021-10-20 23:18:35,53.9353,139.9242,20.93,82,38,4.97
166,Novopokrovka,UA,2021-10-20 23:18:36,49.8425,36.5477,48.58,51,100,14.58
167,High Prairie,CA,2021-10-20 23:18:36,55.4334,-116.4858,52.9,39,3,10.25
168,Kitami,JP,2021-10-20 23:18:36,43.8031,143.8908,47.66,95,100,3.15
169,Faanui,PF,2021-10-20 23:13:38,-16.4833,-151.75,78.35,80,14,6.71
170,Karratha,AU,2021-10-20 23:18:03,-20.7377,116.8463,72.95,35,1,9.86
171,Nantucket,US,2021-10-20 23:15:33,41.2835,-70.0995,63.09,83,1,3.44
172,Sola,VU,2021-10-20 23:18:37,-13.8833,167.55,86.67,79,90,11.5
173,Dawlatabad,AF,2021-10-20 23:18:37,36.4141,64.9053,57.4,20,100,3.29
174,Cairns,AU,2021-10-20 23:17:54,-16.9167,145.7667,89.94,83,75,8.05
175,Zhangye,CN,2021-10-20 23:18:37,38.9342,100.4517,40.15,42,1,3.51
176,Lata,PT,2021-10-20 23:18:38,40.1629,-8.3327,61.81,98,21,1.25
177,Kulim,MY,2021-10-20 23:18:38,5.365,100.5618,76.55,96,100,4.12
178,Kaeo,NZ,2021-10-20 23:18:38,-35.1,173.7833,60.33,97,100,7.38
179,Ahipara,NZ,2021-10-20 23:16:19,-35.1667,173.1667,61.48,91,100,10.87
180,Olafsvik,IS,2021-10-20 23:18:39,64.8945,-23.7142,43.47,75,100,22.17
181,Clyde River,CA,2021-10-20 23:18:39,70.4692,-68.5914,28.63,86,40,11.5
182,Sao Filipe,CV,2021-10-20 23:18:40,14.8961,-24.4956,82.26,59,0,10.16
183,Miles City,US,2021-10-20 23:14:15,46.4083,-105.8406,47.37,53,1,11.5
184,Victoria,HK,2021-10-20 23:18:40,22.2855,114.1577,81.25,87,88,1.01
185,Provideniya,RU,2021-10-20 23:16:39,64.3833,-173.3,30.31,69,0,0.0
186,Kholmogory,RU,2021-10-20 23:18:40,64.2229,41.656,28.51,80,100,13.6
187,Magadan,RU,2021-10-20 23:15:44,59.5667,150.8,14.86,42,0,4.59
188,Kirakira,SB,2021-10-20 23:18:41,-10.4544,161.9205,82.76,76,95,11.43
189,Miyang,CN,2021-10-20 23:18:41,24.4042,103.4428,57.52,98,96,4.74
190,Hailar,CN,2021-10-20 23:18:41,49.2,119.7,21.94,96,35,3.04
191,Praia Da Vitoria,PT,2021-10-20 23:18:00,38.7333,-27.0667,64.76,88,20,2.42
192,Beringovskiy,RU,2021-10-20 23:18:42,63.05,179.3167,18.03,74,42,4.63
193,Miramar,US,2021-10-20 23:14:05,25.9873,-80.2323,81.01,66,75,12.66
